39 4 4
-290 -864 1521 659
1 0 0 0
-410 -789 1992 500
1 0 0 0
-408 -808 2284 700
1 0 0 0
-492 -800 2317 760
1 0 0 0
-1049 -1326 2669 800
1 0 0 0
-457 -1234 1704 850
1 0 0 0
-112 -794 682 600
0 1 0 0
-277 -820 714 700
0 1 0 0
-208 -784 1353 769
0 1 0 0
-293 -836 1527 500
0 1 0 0
-204 -1187 1471 400
0 1 0 0
-335 -1155 1000 529
0 1 0 0
50 -526 929 659
0 0 1 0
246 -404 672 700
0 0 1 0
398 -351 315 800
0 0 1 0
453 -225 473 829
0 0 1 0
302 -268 711 449
0 0 1 0
675 -201 293 558
0 0 1 0
-5 0 9 11
0 0 1 0
-3 3 6 11
0 0 1 0
-5 2 6 11
0 0 1 0
-290 -864 1521 3160
0 0 0 1
-410 -789 1992 2550
0 0 0 1
-408 -808 2284 1569
0 0 0 1
-492 -800 2317 4500
0 0 0 1
-1049 -1326 2669 5000
0 0 0 1
-457 -1234 1704 3000
0 0 0 1
-112 -794 682 2468
0 0 0 1
-277 -820 714 2300
0 0 0 1
-208 -784 1353 1878
0 0 0 1
-293 -836 1527 2500
0 0 0 1
-204 -1187 1471 2778
0 0 0 1
-335 -1155 1000 4037
0 0 0 1
50 -526 929 1654
0 0 0 1
246 -404 672 2246
0 0 0 1
398 -351 315 3674
0 0 0 1
453 -225 473 4321
0 0 0 1
302 -268 711 3018
0 0 0 1
675 -201 293 2721
0 0 0 1
