Sample Time, Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
1.200000,822.000000,949.000000,-680.000000,423.000000,133.000000,1719.000000,-360.000000,413.000000,374.000000
1.250000,892.000000,1149.000000,-782.000000,492.000000,-38.000000,1955.000000,-309.000000,391.000000,375.000000
1.300000,1001.000000,1176.000000,-805.000000,625.000000,-116.000000,2027.000000,-258.000000,376.000000,384.000000
1.350000,885.000000,1059.000000,-749.000000,655.000000,-229.000000,2081.000000,-193.000000,359.000000,384.000000
1.400000,749.000000,738.000000,-695.000000,732.000000,-199.000000,2038.000000,-124.000000,365.000000,381.000000
1.450000,821.000000,407.000000,-618.000000,882.000000,-195.000000,2023.000000,-69.000000,367.000000,377.000000
1.500000,701.000000,139.000000,-602.000000,1219.000000,-157.000000,2055.000000,0.000000,361.000000,365.000000
1.550000,684.000000,-3.000000,-527.000000,1324.000000,-96.000000,2148.000000,58.000000,370.000000,341.000000
1.600000,488.000000,-161.000000,-455.000000,1403.000000,-66.000000,2122.000000,130.000000,386.000000,315.000000
1.650000,328.000000,-173.000000,-306.000000,1246.000000,-133.000000,1969.000000,159.000000,416.000000,293.000000
1.700000,266.000000,-252.000000,-296.000000,1232.000000,-231.000000,1763.000000,196.000000,453.000000,246.000000
1.750000,237.000000,-423.000000,-172.000000,1033.000000,-13.000000,1608.000000,207.000000,473.000000,194.000000
1.800000,-385.000000,-753.000000,-56.000000,1051.000000,-332.000000,1222.000000,223.000000,474.000000,137.000000
1.850000,-556.000000,-1015.000000,-78.000000,730.000000,-522.000000,420.000000,228.000000,452.000000,89.000000
1.900000,-303.000000,-894.000000,-69.000000,-283.000000,-698.000000,-564.000000,231.000000,419.000000,26.000000
1.950000,-145.000000,-810.000000,55.000000,-851.000000,-576.000000,-1108.000000,237.000000,426.000000,14.000000
2.000000,32.000000,-548.000000,-239.000000,-982.000000,-409.000000,-1490.000000,244.000000,434.000000,23.000000
2.050000,288.000000,-313.000000,-221.000000,-1444.000000,-544.000000,-1707.000000,228.000000,464.000000,74.000000
2.100000,123.000000,-60.000000,-431.000000,-1803.000000,-514.000000,-1705.000000,196.000000,464.000000,141.000000
2.150000,804.000000,49.000000,-665.000000,-1780.000000,-116.000000,-1885.000000,141.000000,459.000000,224.000000
2.200000,435.000000,381.000000,-696.000000,-1762.000000,15.000000,-1923.000000,70.000000,443.000000,267.000000
2.250000,725.000000,586.000000,-814.000000,-1955.000000,18.000000,-1857.000000,-9.000000,428.000000,314.000000
2.300000,923.000000,739.000000,-905.000000,-1865.000000,-92.000000,-1876.000000,-105.000000,417.000000,335.000000
