Sample Time, Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
0.600000,481.000000,670.000000,-924.000000,-1126.000000,-29.000000,-793.000000,6.000000,566.000000,330.000000
0.650000,508.000000,723.000000,-908.000000,-900.000000,-51.000000,-639.000000,-40.000000,579.000000,327.000000
0.700000,495.000000,704.000000,-840.000000,-602.000000,-3.000000,-371.000000,-67.000000,585.000000,324.000000
0.750000,460.000000,645.000000,-845.000000,-277.000000,109.000000,-206.000000,-90.000000,596.000000,329.000000
0.800000,564.000000,643.000000,-829.000000,-38.000000,201.000000,-132.000000,-99.000000,588.000000,326.000000
0.850000,490.000000,570.000000,-769.000000,132.000000,172.000000,82.000000,-84.000000,587.000000,329.000000
0.900000,370.000000,574.000000,-856.000000,354.000000,189.000000,239.000000,-84.000000,582.000000,326.000000
0.950000,538.000000,576.000000,-783.000000,507.000000,176.000000,396.000000,-60.000000,569.000000,323.000000
1.000000,582.000000,549.000000,-788.000000,666.000000,145.000000,552.000000,-27.000000,552.000000,320.000000
1.050000,572.000000,532.000000,-796.000000,789.000000,130.000000,721.000000,10.000000,534.000000,333.000000
1.100000,580.000000,516.000000,-850.000000,960.000000,184.000000,750.000000,57.000000,528.000000,330.000000
1.150000,615.000000,462.000000,-849.000000,980.000000,172.000000,847.000000,106.000000,507.000000,320.000000
1.200000,643.000000,372.000000,-844.000000,1024.000000,99.000000,991.000000,159.000000,497.000000,306.000000
1.250000,730.000000,265.000000,-839.000000,1078.000000,101.000000,1019.000000,213.000000,494.000000,300.000000
1.300000,687.000000,127.000000,-837.000000,1113.000000,142.000000,987.000000,262.000000,503.000000,270.000000
1.350000,766.000000,29.000000,-830.000000,1212.000000,149.000000,1014.000000,316.000000,500.000000,245.000000
1.400000,655.000000,-105.000000,-781.000000,1150.000000,77.000000,1173.000000,346.000000,512.000000,215.000000
1.450000,567.000000,-226.000000,-699.000000,1253.000000,195.000000,1088.000000,382.000000,525.000000,197.000000
1.500000,677.000000,-345.000000,-680.000000,1335.000000,167.000000,1208.000000,412.000000,555.000000,153.000000
1.550000,350.000000,-471.000000,-540.000000,1425.000000,217.000000,1078.000000,435.000000,579.000000,111.000000
1.600000,526.000000,-430.000000,-507.000000,1393.000000,164.000000,1242.000000,445.000000,603.000000,86.000000
1.650000,317.000000,-376.000000,-346.000000,1404.000000,-107.000000,1026.000000,447.000000,642.000000,42.000000
1.700000,303.000000,-517.000000,-291.000000,1299.000000,-43.000000,1029.000000,444.000000,674.000000,2.000000
1.750000,25.000000,-690.000000,-9.000000,1048.000000,-25.000000,572.000000,426.000000,699.000000,-33.000000
1.800000,-160.000000,-921.000000,106.000000,751.000000,-85.000000,230.000000,424.000000,702.000000,-57.000000
1.850000,-94.000000,-1118.000000,273.000000,521.000000,-209.000000,168.000000,408.000000,714.000000,-75.000000
1.900000,-204.000000,-1132.000000,250.000000,5.000000,-54.000000,-212.000000,412.000000,695.000000,-81.000000
1.950000,-11.000000,-999.000000,166.000000,-406.000000,-221.000000,-322.000000,417.000000,692.000000,-78.000000
2.000000,173.000000,-799.000000,-31.000000,-509.000000,-631.000000,-270.000000,439.000000,680.000000,-76.000000
2.050000,24.000000,-781.000000,-33.000000,-785.000000,-529.000000,-595.000000,444.000000,663.000000,-57.000000
2.100000,222.000000,-662.000000,-231.000000,-1036.000000,-464.000000,-587.000000,451.000000,647.000000,-33.000000
2.150000,224.000000,-608.000000,-200.000000,-1345.000000,-313.000000,-718.000000,463.000000,626.000000,-1.000000
2.200000,482.000000,-485.000000,-485.000000,-1498.000000,-366.000000,-634.000000,469.000000,612.000000,39.000000
2.250000,226.000000,-471.000000,-396.000000,-1633.000000,-222.000000,-696.000000,447.000000,594.000000,80.000000
2.300000,414.000000,-278.000000,-709.000000,-1768.000000,296.000000,-877.000000,429.000000,581.000000,137.000000
2.350000,558.000000,-248.000000,-725.000000,-1782.000000,418.000000,-975.000000,400.000000,560.000000,183.000000
2.400000,407.000000,-197.000000,-747.000000,-1683.000000,51.000000,-975.000000,340.000000,533.000000,228.000000
2.450000,473.000000,88.000000,-838.000000,-1659.000000,231.000000,-1144.000000,292.000000,528.000000,257.000000
2.500000,730.000000,163.000000,-859.000000,-1630.000000,-40.000000,-1085.000000,229.000000,519.000000,276.000000
2.550000,537.000000,384.000000,-883.000000,-1465.000000,-50.000000,-1172.000000,157.000000,506.000000,299.000000
2.600000,617.000000,515.000000,-892.000000,-1363.000000,-89.000000,-1065.000000,85.000000,518.000000,311.000000
2.650000,687.000000,625.000000,-894.000000,-1234.000000,-159.000000,-962.000000,18.000000,540.000000,323.000000
2.700000,639.000000,748.000000,-887.000000,-900.000000,-223.000000,-714.000000,-33.000000,561.000000,329.000000
2.750000,570.000000,683.000000,-809.000000,-656.000000,-72.000000,-595.000000,-75.000000,570.000000,323.000000
2.800000,429.000000,759.000000,-813.000000,-420.000000,-52.000000,-359.000000,-99.000000,578.000000,323.000000
2.850000,485.000000,694.000000,-793.000000,-163.000000,73.000000,-219.000000,-129.000000,582.000000,311.000000
2.900000,579.000000,648.000000,-745.000000,42.000000,-22.000000,60.000000,-117.000000,591.000000,315.000000
2.950000,455.000000,650.000000,-770.000000,231.000000,63.000000,147.000000,-112.000000,581.000000,324.000000
3.000000,530.000000,640.000000,-754.000000,426.000000,72.000000,340.000000,-93.000000,573.000000,326.000000
3.050000,492.000000,639.000000,-788.000000,522.000000,50.000000,506.000000,-63.000000,564.000000,321.000000
3.100000,528.000000,609.000000,-754.000000,599.000000,-33.000000,681.000000,-28.000000,557.000000,329.000000
3.150000,561.000000,606.000000,-826.000000,787.000000,-6.000000,728.000000,4.000000,534.000000,324.000000
3.200000,549.000000,517.000000,-779.000000,891.000000,-26.000000,798.000000,49.000000,518.000000,314.000000
3.250000,598.000000,477.000000,-823.000000,946.000000,-11.000000,882.000000,96.000000,519.000000,321.000000
3.300000,543.000000,369.000000,-857.000000,942.000000,45.000000,891.000000,148.000000,510.000000,309.000000
3.350000,715.000000,259.000000,-845.000000,1071.000000,133.000000,848.000000,202.000000,510.000000,297.000000
3.400000,650.000000,151.000000,-879.000000,1104.000000,160.000000,963.000000,243.000000,506.000000,282.000000
3.450000,634.000000,-16.000000,-812.000000,1135.000000,188.000000,1013.000000,288.000000,515.000000,255.000000
3.500000,719.000000,-42.000000,-798.000000,1272.000000,238.000000,1005.000000,327.000000,521.000000,228.000000
3.550000,646.000000,-197.000000,-722.000000,1274.000000,170.000000,1206.000000,367.000000,521.000000,209.000000
3.600000,668.000000,-223.000000,-665.000000,1461.000000,309.000000,1037.000000,403.000000,548.000000,176.000000
3.650000,560.000000,-304.000000,-654.000000,1418.000000,134.000000,1320.000000,424.000000,575.000000,132.000000
3.700000,449.000000,-365.000000,-427.000000,1437.000000,210.000000,1087.000000,442.000000,599.000000,96.000000
3.750000,296.000000,-554.000000,-365.000000,1427.000000,58.000000,1172.000000,442.000000,636.000000,56.000000
3.800000,281.000000,-583.000000,-233.000000,1404.000000,116.000000,958.000000,447.000000,672.000000,18.000000
3.850000,66.000000,-669.000000,-72.000000,1163.000000,5.000000,812.000000,427.000000,698.000000,-13.000000
3.900000,176.000000,-755.000000,0.000000,863.000000,-67.000000,592.000000,420.000000,719.000000,-52.000000
3.950000,-126.000000,-1054.000000,203.000000,704.000000,-427.000000,490.000000,409.000000,735.000000,-60.000000
4.000000,-49.000000,-1142.000000,336.000000,302.000000,-309.000000,163.000000,388.000000,750.000000,-70.000000
4.050000,-122.000000,-986.000000,181.000000,-105.000000,-231.000000,-277.000000,387.000000,741.000000,-76.000000
4.100000,-12.000000,-910.000000,136.000000,-390.000000,-402.000000,-427.000000,408.000000,729.000000,-70.000000
4.150000,-22.000000,-829.000000,69.000000,-538.000000,-578.000000,-437.000000,424.000000,708.000000,-67.000000
4.200000,183.000000,-806.000000,-11.000000,-832.000000,-428.000000,-682.000000,435.000000,686.000000,-54.000000
4.250000,65.000000,-768.000000,101.000000,-982.000000,-362.000000,-659.000000,460.000000,656.000000,-27.000000
4.300000,349.000000,-686.000000,-278.000000,-1247.000000,-151.000000,-839.000000,457.000000,654.000000,-12.000000
4.350000,364.000000,-612.000000,-386.000000,-1426.000000,-149.000000,-719.000000,478.000000,624.000000,29.000000
4.400000,195.000000,-566.000000,-406.000000,-1514.000000,-39.000000,-783.000000,456.000000,603.000000,77.000000
4.450000,577.000000,-303.000000,-663.000000,-1638.000000,158.000000,-762.000000,442.000000,582.000000,123.000000
4.500000,690.000000,-261.000000,-722.000000,-1660.000000,187.000000,-856.000000,409.000000,561.000000,171.000000
4.550000,655.000000,-121.000000,-834.000000,-1610.000000,88.000000,-908.000000,372.000000,531.000000,200.000000
4.600000,575.000000,-59.000000,-827.000000,-1585.000000,69.000000,-970.000000,319.000000,507.000000,233.000000
4.650000,813.000000,110.000000,-820.000000,-1574.000000,-105.000000,-959.000000,268.000000,494.000000,260.000000
4.700000,353.000000,189.000000,-813.000000,-1392.000000,-155.000000,-958.000000,208.000000,491.000000,279.000000
4.750000,590.000000,296.000000,-904.000000,-1300.000000,-224.000000,-939.000000,147.000000,507.000000,305.000000
4.800000,674.000000,461.000000,-852.000000,-1201.000000,-245.000000,-977.000000,82.000000,524.000000,312.000000
4.850000,556.000000,675.000000,-889.000000,-996.000000,-176.000000,-875.000000,30.000000,528.000000,320.000000
4.900000,608.000000,640.000000,-859.000000,-817.000000,-329.000000,-676.000000,-24.000000,548.000000,320.000000
4.950000,570.000000,745.000000,-865.000000,-573.000000,-322.000000,-511.000000,-55.000000,566.000000,320.000000
5.000000,554.000000,667.000000,-778.000000,-345.000000,-198.000000,-283.000000,-81.000000,587.000000,321.000000
5.050000,475.000000,629.000000,-769.000000,-159.000000,-120.000000,-65.000000,-87.000000,593.000000,321.000000
5.100000,476.000000,615.000000,-792.000000,60.000000,84.000000,5.000000,-97.000000,599.000000,321.000000
5.150000,513.000000,587.000000,-785.000000,210.000000,75.000000,209.000000,-84.000000,587.000000,326.000000
5.200000,467.000000,606.000000,-849.000000,378.000000,135.000000,327.000000,-69.000000,581.000000,321.000000
5.250000,495.000000,558.000000,-793.000000,506.000000,97.000000,478.000000,-40.000000,564.000000,326.000000
5.300000,537.000000,576.000000,-792.000000,637.000000,84.000000,579.000000,-7.000000,549.000000,330.000000
5.350000,490.000000,579.000000,-845.000000,709.000000,47.000000,700.000000,31.000000,528.000000,318.000000
5.400000,613.000000,441.000000,-792.000000,802.000000,42.000000,741.000000,70.000000,528.000000,321.000000
5.450000,623.000000,423.000000,-835.000000,862.000000,71.000000,796.000000,105.000000,521.000000,315.000000
5.500000,586.000000,360.000000,-867.000000,896.000000,101.000000,841.000000,162.000000,512.000000,294.000000
5.550000,647.000000,264.000000,-819.000000,934.000000,135.000000,953.000000,195.000000,504.000000,293.000000
5.600000,680.000000,209.000000,-842.000000,1017.000000,120.000000,961.000000,241.000000,504.000000,270.000000
5.650000,598.000000,16.000000,-764.000000,1111.000000,221.000000,971.000000,279.000000,516.000000,269.000000
5.700000,656.000000,-68.000000,-761.000000,1178.000000,233.000000,985.000000,321.000000,512.000000,233.000000
5.750000,518.000000,-262.000000,-678.000000,1166.000000,154.000000,1159.000000,357.000000,528.000000,209.000000
5.800000,637.000000,-284.000000,-637.000000,1313.000000,231.000000,1008.000000,387.000000,543.000000,173.000000
5.850000,494.000000,-325.000000,-639.000000,1334.000000,120.000000,1157.000000,414.000000,558.000000,143.000000
5.900000,660.000000,-383.000000,-468.000000,1374.000000,122.000000,1056.000000,423.000000,600.000000,105.000000
5.950000,364.000000,-513.000000,-345.000000,1418.000000,20.000000,1092.000000,439.000000,617.000000,72.000000
6.000000,229.000000,-598.000000,-249.000000,1430.000000,331.000000,821.000000,442.000000,642.000000,35.000000
6.050000,13.000000,-764.000000,-87.000000,1218.000000,236.000000,794.000000,433.000000,683.000000,-9.000000
6.100000,88.000000,-829.000000,31.000000,910.000000,250.000000,618.000000,421.000000,701.000000,-37.000000
6.150000,-43.000000,-1160.000000,294.000000,642.000000,-210.000000,779.000000,406.000000,728.000000,-43.000000
6.200000,-191.000000,-1129.000000,187.000000,320.000000,-79.000000,331.000000,396.000000,743.000000,-55.000000
6.250000,48.000000,-949.000000,186.000000,-170.000000,-210.000000,-136.000000,396.000000,746.000000,-52.000000
6.300000,-183.000000,-938.000000,149.000000,-280.000000,-553.000000,-296.000000,408.000000,735.000000,-52.000000
6.350000,-64.000000,-894.000000,94.000000,-590.000000,-576.000000,-548.000000,427.000000,723.000000,-40.000000
6.400000,281.000000,-768.000000,-91.000000,-767.000000,-446.000000,-595.000000,439.000000,699.000000,-27.000000
6.450000,46.000000,-781.000000,-41.000000,-968.000000,-371.000000,-830.000000,453.000000,666.000000,-6.000000
6.500000,514.000000,-543.000000,-409.000000,-1176.000000,-340.000000,-781.000000,456.000000,641.000000,20.000000
6.550000,142.000000,-665.000000,-208.000000,-1328.000000,-205.000000,-867.000000,459.000000,611.000000,56.000000
6.600000,584.000000,-361.000000,-687.000000,-1441.000000,-82.000000,-886.000000,441.000000,584.000000,95.000000
6.650000,558.000000,-427.000000,-542.000000,-1449.000000,-107.000000,-819.000000,439.000000,564.000000,120.000000
6.700000,606.000000,-197.000000,-748.000000,-1581.000000,-30.000000,-826.000000,408.000000,543.000000,173.000000
6.750000,705.000000,-120.000000,-699.000000,-1558.000000,-39.000000,-784.000000,376.000000,518.000000,204.000000
6.800000,617.000000,-62.000000,-808.000000,-1463.000000,135.000000,-968.000000,322.000000,519.000000,243.000000
6.850000,736.000000,17.000000,-813.000000,-1420.000000,-14.000000,-952.000000,279.000000,500.000000,270.000000
6.900000,603.000000,202.000000,-911.000000,-1296.000000,5.000000,-932.000000,219.000000,498.000000,288.000000
6.950000,750.000000,384.000000,-864.000000,-1145.000000,-35.000000,-875.000000,157.000000,495.000000,300.000000
7.000000,791.000000,437.000000,-843.000000,-1075.000000,-76.000000,-876.000000,109.000000,504.000000,317.000000
7.050000,404.000000,484.000000,-766.000000,-900.000000,10.000000,-966.000000,58.000000,506.000000,321.000000
7.100000,615.000000,617.000000,-768.000000,-826.000000,-182.000000,-862.000000,6.000000,522.000000,320.000000
7.150000,615.000000,738.000000,-733.000000,-645.000000,-241.000000,-729.000000,-37.000000,551.000000,324.000000
7.200000,560.000000,733.000000,-731.000000,-557.000000,-229.000000,-563.000000,-73.000000,558.000000,321.000000
7.250000,446.000000,722.000000,-725.000000,-356.000000,-184.000000,-424.000000,-100.000000,570.000000,330.000000
7.300000,457.000000,679.000000,-730.000000,-111.000000,-85.000000,-261.000000,-117.000000,588.000000,323.000000
7.350000,626.000000,679.000000,-698.000000,49.000000,-110.000000,22.000000,-118.000000,579.000000,324.000000
7.400000,427.000000,653.000000,-765.000000,174.000000,-21.000000,161.000000,-115.000000,582.000000,318.000000
7.450000,556.000000,613.000000,-733.000000,290.000000,-76.000000,319.000000,-93.000000,582.000000,323.000000
7.500000,513.000000,645.000000,-786.000000,385.000000,-88.000000,490.000000,-78.000000,572.000000,326.000000
7.550000,484.000000,592.000000,-785.000000,466.000000,-113.000000,546.000000,-40.000000,569.000000,326.000000
7.600000,543.000000,616.000000,-808.000000,607.000000,-170.000000,690.000000,-16.000000,563.000000,333.000000
7.650000,574.000000,555.000000,-842.000000,768.000000,-30.000000,710.000000,16.000000,555.000000,336.000000
7.700000,485.000000,508.000000,-812.000000,749.000000,-77.000000,828.000000,60.000000,549.000000,333.000000
7.750000,619.000000,491.000000,-876.000000,930.000000,-70.000000,802.000000,102.000000,542.000000,336.000000
7.800000,631.000000,433.000000,-848.000000,1042.000000,18.000000,787.000000,141.000000,539.000000,323.000000
7.850000,648.000000,286.000000,-835.000000,1052.000000,44.000000,830.000000,181.000000,533.000000,309.000000
7.900000,557.000000,143.000000,-848.000000,1199.000000,193.000000,788.000000,240.000000,530.000000,290.000000
7.950000,691.000000,19.000000,-799.000000,1295.000000,282.000000,784.000000,277.000000,531.000000,278.000000
8.000000,557.000000,-61.000000,-832.000000,1430.000000,472.000000,863.000000,327.000000,525.000000,239.000000
8.050000,593.000000,-102.000000,-733.000000,1324.000000,428.000000,1070.000000,361.000000,534.000000,210.000000
