Sample Time, Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
0.450000,57.000000,-870.000000,206.000000,-343.000000,-631.000000,-472.000000,366.000000,629.000000,-88.000000
0.500000,53.000000,-845.000000,206.000000,-572.000000,-676.000000,-704.000000,379.000000,624.000000,-75.000000
0.550000,325.000000,-734.000000,3.000000,-846.000000,-718.000000,-949.000000,399.000000,627.000000,-39.000000
0.600000,143.000000,-712.000000,-15.000000,-1050.000000,-532.000000,-1124.000000,399.000000,621.000000,9.000000
0.650000,559.000000,-576.000000,-151.000000,-1178.000000,-658.000000,-1169.000000,387.000000,611.000000,56.000000
0.700000,392.000000,-511.000000,-263.000000,-1292.000000,-466.000000,-1360.000000,354.000000,579.000000,111.000000
0.750000,498.000000,-391.000000,-459.000000,-1365.000000,-307.000000,-1397.000000,327.000000,552.000000,150.000000
0.800000,729.000000,-135.000000,-551.000000,-1430.000000,-338.000000,-1380.000000,282.000000,533.000000,197.000000
0.850000,753.000000,21.000000,-645.000000,-1407.000000,-282.000000,-1320.000000,229.000000,498.000000,239.000000
0.900000,832.000000,208.000000,-812.000000,-1387.000000,-76.000000,-1292.000000,174.000000,500.000000,276.000000
0.950000,1008.000000,180.000000,-686.000000,-1395.000000,-539.000000,-892.000000,105.000000,489.000000,314.000000
1.000000,580.000000,272.000000,-755.000000,-1202.000000,-180.000000,-1198.000000,39.000000,485.000000,332.000000
1.050000,940.000000,381.000000,-805.000000,-1120.000000,-144.000000,-1069.000000,-28.000000,497.000000,351.000000
1.100000,852.000000,394.000000,-709.000000,-948.000000,-347.000000,-863.000000,-84.000000,498.000000,356.000000
1.150000,616.000000,510.000000,-782.000000,-808.000000,-79.000000,-849.000000,-142.000000,509.000000,374.000000
1.200000,926.000000,536.000000,-736.000000,-599.000000,-74.000000,-614.000000,-172.000000,527.000000,375.000000
1.250000,791.000000,521.000000,-741.000000,-319.000000,-49.000000,-279.000000,-211.000000,528.000000,366.000000
1.300000,757.000000,460.000000,-768.000000,-53.000000,53.000000,-98.000000,-226.000000,534.000000,365.000000
1.350000,710.000000,495.000000,-757.000000,192.000000,123.000000,242.000000,-211.000000,531.000000,365.000000
1.400000,615.000000,497.000000,-745.000000,396.000000,175.000000,440.000000,-190.000000,509.000000,368.000000
1.450000,870.000000,462.000000,-691.000000,557.000000,106.000000,686.000000,-147.000000,516.000000,375.000000
1.500000,842.000000,446.000000,-749.000000,721.000000,67.000000,854.000000,-117.000000,497.000000,363.000000
1.550000,705.000000,373.000000,-739.000000,795.000000,231.000000,900.000000,-64.000000,485.000000,347.000000
1.600000,977.000000,359.000000,-724.000000,805.000000,32.000000,1134.000000,-6.000000,480.000000,344.000000
1.650000,792.000000,238.000000,-702.000000,882.000000,63.000000,1131.000000,46.000000,480.000000,327.000000
1.700000,784.000000,181.000000,-699.000000,861.000000,121.000000,1194.000000,100.000000,492.000000,323.000000
1.750000,887.000000,-6.000000,-593.000000,964.000000,19.000000,1285.000000,139.000000,503.000000,303.000000
1.800000,841.000000,-40.000000,-672.000000,1003.000000,17.000000,1337.000000,199.000000,515.000000,273.000000
1.850000,792.000000,-234.000000,-457.000000,1022.000000,26.000000,1453.000000,235.000000,537.000000,254.000000
1.900000,564.000000,-282.000000,-528.000000,1173.000000,275.000000,1284.000000,276.000000,542.000000,225.000000
1.950000,756.000000,-343.000000,-441.000000,1036.000000,319.000000,1493.000000,304.000000,569.000000,188.000000
2.000000,349.000000,-531.000000,-335.000000,1061.000000,326.000000,1329.000000,337.000000,597.000000,161.000000
2.050000,625.000000,-474.000000,-270.000000,1026.000000,321.000000,1390.000000,340.000000,639.000000,131.000000
2.100000,157.000000,-675.000000,-162.000000,1003.000000,497.000000,1031.000000,348.000000,660.000000,96.000000
2.150000,410.000000,-710.000000,-118.000000,985.000000,183.000000,1075.000000,357.000000,684.000000,71.000000
2.200000,40.000000,-797.000000,-27.000000,705.000000,322.000000,623.000000,361.000000,689.000000,38.000000
2.250000,-127.000000,-994.000000,88.000000,537.000000,4.000000,485.000000,360.000000,707.000000,12.000000
2.300000,-157.000000,-1078.000000,222.000000,244.000000,-870.000000,517.000000,343.000000,716.000000,-1.000000
2.350000,-154.000000,-1057.000000,260.000000,-287.000000,-69.000000,-387.000000,349.000000,719.000000,5.000000
2.400000,-141.000000,-922.000000,196.000000,-535.000000,-208.000000,-686.000000,360.000000,708.000000,9.000000
2.450000,257.000000,-795.000000,46.000000,-635.000000,-580.000000,-793.000000,370.000000,696.000000,26.000000
2.500000,85.000000,-730.000000,-31.000000,-822.000000,-483.000000,-1187.000000,382.000000,674.000000,44.000000
2.550000,591.000000,-605.000000,-235.000000,-995.000000,-629.000000,-1250.000000,379.000000,650.000000,74.000000
2.600000,485.000000,-593.000000,-160.000000,-1126.000000,-448.000000,-1294.000000,370.000000,612.000000,114.000000
2.650000,432.000000,-464.000000,-286.000000,-1195.000000,-229.000000,-1402.000000,340.000000,582.000000,155.000000
2.700000,728.000000,-244.000000,-575.000000,-1288.000000,-35.000000,-1390.000000,309.000000,554.000000,192.000000
2.750000,1048.000000,-118.000000,-676.000000,-1263.000000,-170.000000,-1199.000000,261.000000,534.000000,231.000000
2.800000,721.000000,-102.000000,-635.000000,-1177.000000,-282.000000,-1208.000000,211.000000,507.000000,261.000000
2.850000,833.000000,3.000000,-644.000000,-1059.000000,152.000000,-1292.000000,157.000000,488.000000,282.000000
2.900000,1154.000000,135.000000,-692.000000,-971.000000,-343.000000,-951.000000,105.000000,485.000000,309.000000
2.950000,614.000000,119.000000,-672.000000,-942.000000,-92.000000,-1036.000000,48.000000,468.000000,326.000000
3.000000,851.000000,277.000000,-688.000000,-870.000000,-98.000000,-1007.000000,-3.000000,458.000000,339.000000
3.050000,829.000000,333.000000,-587.000000,-803.000000,-249.000000,-898.000000,-48.000000,474.000000,348.000000
3.100000,724.000000,434.000000,-668.000000,-682.000000,-133.000000,-896.000000,-100.000000,482.000000,353.000000
3.150000,869.000000,510.000000,-645.000000,-623.000000,-98.000000,-664.000000,-139.000000,489.000000,354.000000
3.200000,815.000000,526.000000,-694.000000,-360.000000,-147.000000,-361.000000,-175.000000,503.000000,360.000000
3.250000,852.000000,511.000000,-727.000000,-179.000000,-113.000000,-114.000000,-198.000000,506.000000,369.000000
3.300000,875.000000,493.000000,-693.000000,22.000000,-5.000000,119.000000,-192.000000,504.000000,365.000000
3.350000,785.000000,434.000000,-695.000000,193.000000,-46.000000,373.000000,-183.000000,504.000000,363.000000
3.400000,792.000000,426.000000,-677.000000,373.000000,-12.000000,499.000000,-151.000000,510.000000,360.000000
3.450000,901.000000,415.000000,-676.000000,428.000000,-50.000000,713.000000,-130.000000,501.000000,357.000000
3.500000,838.000000,432.000000,-717.000000,585.000000,11.000000,776.000000,-105.000000,486.000000,354.000000
3.550000,857.000000,385.000000,-696.000000,701.000000,21.000000,918.000000,-52.000000,485.000000,351.000000
3.600000,864.000000,313.000000,-729.000000,814.000000,28.000000,953.000000,-9.000000,480.000000,338.000000
3.650000,807.000000,236.000000,-681.000000,826.000000,4.000000,1019.000000,40.000000,482.000000,327.000000
3.700000,820.000000,117.000000,-733.000000,854.000000,76.000000,1061.000000,93.000000,485.000000,311.000000
3.750000,728.000000,14.000000,-728.000000,860.000000,-34.000000,1115.000000,142.000000,494.000000,296.000000
3.800000,633.000000,-55.000000,-657.000000,919.000000,137.000000,1076.000000,184.000000,513.000000,281.000000
