Sample Time, Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
0.600000,739.000000,-86.000000,-61.000000,-72.000000,79.000000,-344.000000,18.000000,371.000000,281.000000
0.650000,722.000000,-10.000000,-138.000000,-114.000000,221.000000,-639.000000,10.000000,362.000000,278.000000
0.700000,767.000000,25.000000,-43.000000,-117.000000,215.000000,-896.000000,-25.000000,362.000000,275.000000
0.750000,862.000000,183.000000,-71.000000,-63.000000,124.000000,-1071.000000,-58.000000,362.000000,273.000000
0.800000,979.000000,291.000000,-81.000000,-71.000000,126.000000,-1145.000000,-93.000000,355.000000,270.000000
0.850000,970.000000,318.000000,50.000000,-70.000000,118.000000,-1174.000000,-139.000000,359.000000,270.000000
0.900000,1012.000000,522.000000,-32.000000,-86.000000,42.000000,-1120.000000,-172.000000,379.000000,266.000000
0.950000,946.000000,560.000000,-5.000000,-126.000000,82.000000,-1038.000000,-207.000000,385.000000,266.000000
1.000000,936.000000,635.000000,48.000000,-113.000000,123.000000,-815.000000,-238.000000,398.000000,273.000000
1.050000,983.000000,701.000000,-11.000000,-152.000000,50.000000,-654.000000,-259.000000,401.000000,266.000000
1.100000,854.000000,646.000000,-28.000000,-117.000000,191.000000,-480.000000,-294.000000,407.000000,254.000000
1.150000,970.000000,688.000000,62.000000,-60.000000,79.000000,-220.000000,-291.000000,423.000000,245.000000
1.200000,940.000000,625.000000,29.000000,10.000000,63.000000,14.000000,-300.000000,419.000000,249.000000
1.250000,922.000000,620.000000,-4.000000,64.000000,53.000000,268.000000,-288.000000,413.000000,246.000000
1.300000,984.000000,585.000000,30.000000,23.000000,10.000000,478.000000,-282.000000,409.000000,243.000000
1.350000,1014.000000,618.000000,20.000000,84.000000,-57.000000,619.000000,-264.000000,395.000000,252.000000
1.400000,981.000000,563.000000,38.000000,58.000000,-191.000000,798.000000,-237.000000,386.000000,251.000000
1.450000,978.000000,588.000000,-69.000000,183.000000,-71.000000,877.000000,-216.000000,373.000000,258.000000
1.500000,974.000000,476.000000,71.000000,130.000000,-264.000000,1027.000000,-181.000000,367.000000,257.000000
1.550000,893.000000,420.000000,-79.000000,128.000000,-192.000000,1114.000000,-141.000000,353.000000,254.000000
1.600000,907.000000,350.000000,-68.000000,293.000000,-95.000000,1180.000000,-100.000000,355.000000,260.000000
1.650000,872.000000,212.000000,35.000000,196.000000,-184.000000,1213.000000,-55.000000,358.000000,261.000000
1.700000,837.000000,175.000000,-165.000000,240.000000,-200.000000,1108.000000,-13.000000,350.000000,260.000000
1.750000,789.000000,-41.000000,17.000000,229.000000,-184.000000,932.000000,19.000000,355.000000,263.000000
1.800000,695.000000,-134.000000,-65.000000,156.000000,-121.000000,629.000000,40.000000,368.000000,266.000000
1.850000,725.000000,-189.000000,-74.000000,106.000000,-60.000000,203.000000,51.000000,370.000000,269.000000
1.900000,675.000000,-201.000000,35.000000,25.000000,81.000000,-216.000000,63.000000,376.000000,264.000000
1.950000,805.000000,-47.000000,-84.000000,-3.000000,19.000000,-542.000000,43.000000,364.000000,261.000000
2.000000,747.000000,-6.000000,-87.000000,13.000000,204.000000,-874.000000,16.000000,356.000000,263.000000
2.050000,776.000000,52.000000,6.000000,-67.000000,92.000000,-1003.000000,-9.000000,352.000000,258.000000
2.100000,917.000000,218.000000,-127.000000,-107.000000,-43.000000,-1130.000000,-45.000000,362.000000,258.000000
2.150000,982.000000,316.000000,-41.000000,-92.000000,-39.000000,-1162.000000,-81.000000,365.000000,258.000000
2.200000,1000.000000,445.000000,44.000000,-54.000000,-115.000000,-1035.000000,-123.000000,373.000000,266.000000
2.250000,981.000000,573.000000,-35.000000,-117.000000,92.000000,-994.000000,-154.000000,380.000000,261.000000
2.300000,952.000000,554.000000,-21.000000,-192.000000,53.000000,-990.000000,-195.000000,383.000000,258.000000
2.350000,1049.000000,655.000000,-29.000000,-196.000000,-73.000000,-920.000000,-226.000000,386.000000,261.000000
2.400000,865.000000,612.000000,-16.000000,-237.000000,77.000000,-682.000000,-255.000000,403.000000,257.000000
2.450000,887.000000,644.000000,-12.000000,-172.000000,93.000000,-462.000000,-280.000000,412.000000,260.000000
2.500000,881.000000,668.000000,7.000000,-181.000000,-67.000000,-239.000000,-291.000000,431.000000,252.000000
2.550000,862.000000,687.000000,-33.000000,-65.000000,14.000000,-4.000000,-294.000000,422.000000,266.000000
2.600000,950.000000,642.000000,51.000000,-60.000000,49.000000,172.000000,-301.000000,417.000000,255.000000
2.650000,909.000000,643.000000,33.000000,-60.000000,-12.000000,340.000000,-292.000000,419.000000,257.000000
2.700000,915.000000,586.000000,20.000000,-63.000000,-42.000000,528.000000,-280.000000,401.000000,248.000000
2.750000,942.000000,584.000000,-25.000000,-30.000000,-70.000000,679.000000,-265.000000,400.000000,248.000000
2.800000,993.000000,557.000000,48.000000,31.000000,-119.000000,875.000000,-226.000000,382.000000,255.000000
2.850000,1006.000000,543.000000,-46.000000,35.000000,-201.000000,1006.000000,-202.000000,371.000000,254.000000
2.900000,902.000000,417.000000,-10.000000,63.000000,-156.000000,1027.000000,-165.000000,367.000000,261.000000
2.950000,932.000000,379.000000,-15.000000,50.000000,-212.000000,1069.000000,-132.000000,358.000000,263.000000
3.000000,938.000000,323.000000,-60.000000,85.000000,-226.000000,1022.000000,-105.000000,355.000000,264.000000
3.050000,870.000000,200.000000,-69.000000,97.000000,-193.000000,963.000000,-75.000000,361.000000,258.000000
3.100000,904.000000,140.000000,-23.000000,165.000000,-142.000000,886.000000,-42.000000,356.000000,272.000000
3.150000,854.000000,45.000000,-48.000000,185.000000,-170.000000,730.000000,-10.000000,359.000000,264.000000
3.200000,814.000000,-74.000000,12.000000,173.000000,-77.000000,504.000000,13.000000,362.000000,273.000000
3.250000,746.000000,-120.000000,-67.000000,106.000000,24.000000,270.000000,18.000000,358.000000,264.000000
3.300000,767.000000,-125.000000,-17.000000,37.000000,93.000000,-11.000000,25.000000,358.000000,266.000000
3.350000,787.000000,-62.000000,-33.000000,32.000000,84.000000,-264.000000,24.000000,353.000000,264.000000
3.400000,805.000000,-32.000000,-34.000000,-27.000000,125.000000,-484.000000,3.000000,361.000000,264.000000
3.450000,842.000000,23.000000,-20.000000,0.000000,107.000000,-651.000000,-12.000000,352.000000,254.000000
3.500000,869.000000,104.000000,-28.000000,-28.000000,94.000000,-805.000000,-40.000000,349.000000,255.000000
3.550000,949.000000,197.000000,-37.000000,-23.000000,-12.000000,-929.000000,-63.000000,349.000000,257.000000
3.600000,913.000000,256.000000,8.000000,-34.000000,85.000000,-967.000000,-94.000000,353.000000,252.000000
3.650000,1032.000000,384.000000,22.000000,-30.000000,-3.000000,-991.000000,-132.000000,359.000000,261.000000
3.700000,963.000000,469.000000,-13.000000,-9.000000,-30.000000,-945.000000,-163.000000,371.000000,257.000000
3.750000,998.000000,502.000000,-1.000000,-18.000000,-1.000000,-775.000000,-195.000000,371.000000,254.000000
3.800000,1025.000000,572.000000,-9.000000,-14.000000,-116.000000,-672.000000,-214.000000,383.000000,254.000000
3.850000,933.000000,566.000000,-42.000000,4.000000,-16.000000,-480.000000,-222.000000,389.000000,252.000000
3.900000,955.000000,571.000000,-2.000000,-58.000000,-7.000000,-310.000000,-244.000000,400.000000,258.000000
3.950000,922.000000,589.000000,16.000000,-28.000000,-65.000000,-165.000000,-244.000000,406.000000,254.000000
4.000000,912.000000,633.000000,-20.000000,-3.000000,17.000000,-36.000000,-247.000000,406.000000,258.000000
4.050000,962.000000,593.000000,33.000000,4.000000,44.000000,96.000000,-258.000000,400.000000,264.000000
4.100000,948.000000,565.000000,-23.000000,30.000000,10.000000,267.000000,-240.000000,395.000000,255.000000
4.150000,913.000000,518.000000,-37.000000,21.000000,68.000000,436.000000,-231.000000,394.000000,249.000000
4.200000,975.000000,507.000000,16.000000,14.000000,-28.000000,600.000000,-213.000000,385.000000,251.000000
4.250000,987.000000,539.000000,-107.000000,28.000000,-49.000000,691.000000,-193.000000,386.000000,264.000000
4.300000,980.000000,439.000000,20.000000,97.000000,-96.000000,805.000000,-180.000000,382.000000,260.000000
4.350000,908.000000,363.000000,-38.000000,87.000000,-99.000000,908.000000,-138.000000,371.000000,252.000000
4.400000,959.000000,308.000000,64.000000,87.000000,-184.000000,893.000000,-123.000000,362.000000,269.000000
4.450000,917.000000,319.000000,-103.000000,70.000000,-104.000000,917.000000,-90.000000,350.000000,258.000000
4.500000,909.000000,165.000000,0.000000,91.000000,-140.000000,930.000000,-60.000000,359.000000,270.000000
4.550000,893.000000,89.000000,-29.000000,16.000000,-237.000000,837.000000,-34.000000,355.000000,266.000000
4.600000,912.000000,38.000000,-115.000000,45.000000,-287.000000,783.000000,-6.000000,350.000000,275.000000
4.650000,818.000000,-49.000000,-67.000000,112.000000,-128.000000,658.000000,18.000000,368.000000,282.000000
4.700000,797.000000,-100.000000,-54.000000,42.000000,-119.000000,436.000000,36.000000,371.000000,273.000000
4.750000,724.000000,-134.000000,-90.000000,-4.000000,-60.000000,63.000000,34.000000,376.000000,281.000000
4.800000,695.000000,-116.000000,-48.000000,-51.000000,36.000000,-287.000000,34.000000,373.000000,276.000000
4.850000,748.000000,-37.000000,-99.000000,-126.000000,69.000000,-646.000000,18.000000,371.000000,279.000000
4.900000,735.000000,19.000000,-16.000000,-129.000000,135.000000,-872.000000,-4.000000,367.000000,270.000000
4.950000,932.000000,135.000000,16.000000,-308.000000,18.000000,-1154.000000,-42.000000,355.000000,279.000000
5.000000,892.000000,275.000000,-162.000000,-207.000000,185.000000,-1316.000000,-94.000000,365.000000,266.000000
5.050000,958.000000,421.000000,15.000000,-242.000000,159.000000,-1262.000000,-139.000000,374.000000,269.000000
5.100000,986.000000,501.000000,-6.000000,-158.000000,21.000000,-1201.000000,-172.000000,379.000000,267.000000
5.150000,907.000000,608.000000,-27.000000,-146.000000,240.000000,-1065.000000,-213.000000,388.000000,267.000000
5.200000,988.000000,708.000000,54.000000,-44.000000,25.000000,-888.000000,-246.000000,398.000000,261.000000
5.250000,972.000000,743.000000,-51.000000,-2.000000,173.000000,-775.000000,-277.000000,412.000000,258.000000
5.300000,870.000000,679.000000,-20.000000,-67.000000,181.000000,-588.000000,-288.000000,426.000000,249.000000
5.350000,907.000000,670.000000,51.000000,-56.000000,57.000000,-324.000000,-307.000000,425.000000,255.000000
5.400000,808.000000,678.000000,17.000000,-61.000000,91.000000,-194.000000,-319.000000,422.000000,248.000000
5.450000,827.000000,703.000000,29.000000,-11.000000,106.000000,-53.000000,-318.000000,438.000000,251.000000
5.500000,883.000000,692.000000,51.000000,58.000000,57.000000,186.000000,-321.000000,429.000000,252.000000
5.550000,825.000000,662.000000,42.000000,53.000000,5.000000,340.000000,-304.000000,425.000000,240.000000
5.600000,842.000000,645.000000,52.000000,116.000000,57.000000,489.000000,-295.000000,422.000000,239.000000
5.650000,848.000000,617.000000,47.000000,144.000000,33.000000,627.000000,-279.000000,414.000000,243.000000
5.700000,901.000000,611.000000,63.000000,268.000000,44.000000,737.000000,-246.000000,401.000000,254.000000
5.750000,872.000000,637.000000,-48.000000,191.000000,44.000000,777.000000,-228.000000,385.000000,249.000000
5.800000,918.000000,514.000000,44.000000,-54.000000,-168.000000,824.000000,-195.000000,376.000000,252.000000
5.850000,863.000000,501.000000,-138.000000,-11.000000,-192.000000,793.000000,-166.000000,367.000000,249.000000
5.900000,1016.000000,393.000000,61.000000,-7.000000,-214.000000,944.000000,-144.000000,359.000000,252.000000
5.950000,869.000000,299.000000,-34.000000,-5.000000,-228.000000,869.000000,-118.000000,355.000000,255.000000
6.000000,994.000000,325.000000,-97.000000,37.000000,-172.000000,870.000000,-96.000000,356.000000,264.000000
6.050000,902.000000,211.000000,5.000000,111.000000,-114.000000,737.000000,-58.000000,349.000000,272.000000
6.100000,843.000000,94.000000,2.000000,39.000000,-84.000000,665.000000,-40.000000,346.000000,267.000000
6.150000,827.000000,38.000000,-21.000000,30.000000,20.000000,583.000000,-13.000000,349.000000,272.000000
6.200000,798.000000,-42.000000,-40.000000,-53.000000,-54.000000,347.000000,-21.000000,349.000000,269.000000
6.250000,755.000000,-100.000000,-3.000000,-6.000000,86.000000,7.000000,0.000000,350.000000,267.000000
6.300000,737.000000,-75.000000,-57.000000,-46.000000,150.000000,-290.000000,-24.000000,347.000000,266.000000
6.350000,745.000000,-37.000000,-14.000000,-35.000000,181.000000,-573.000000,-24.000000,340.000000,254.000000
6.400000,745.000000,63.000000,0.000000,-55.000000,206.000000,-874.000000,-60.000000,353.000000,258.000000
6.450000,813.000000,227.000000,-54.000000,-6.000000,141.000000,-1004.000000,-93.000000,349.000000,257.000000
6.500000,926.000000,446.000000,47.000000,68.000000,465.000000,-1170.000000,-126.000000,352.000000,242.000000
6.550000,996.000000,564.000000,104.000000,247.000000,205.000000,-1206.000000,-162.000000,350.000000,237.000000
6.600000,822.000000,589.000000,53.000000,60.000000,45.000000,-1150.000000,-199.000000,367.000000,234.000000
6.650000,858.000000,655.000000,64.000000,96.000000,296.000000,-1029.000000,-231.000000,377.000000,243.000000
6.700000,1028.000000,755.000000,105.000000,81.000000,163.000000,-781.000000,-256.000000,394.000000,233.000000
6.750000,917.000000,753.000000,68.000000,88.000000,184.000000,-532.000000,-277.000000,400.000000,234.000000
6.800000,890.000000,675.000000,117.000000,44.000000,123.000000,-271.000000,-292.000000,409.000000,236.000000
6.850000,838.000000,657.000000,98.000000,11.000000,39.000000,-81.000000,-301.000000,406.000000,233.000000
6.900000,806.000000,647.000000,110.000000,-15.000000,-37.000000,76.000000,-294.000000,409.000000,234.000000
6.950000,855.000000,672.000000,76.000000,-25.000000,-61.000000,212.000000,-288.000000,409.000000,234.000000
7.000000,889.000000,685.000000,86.000000,12.000000,-124.000000,327.000000,-282.000000,397.000000,234.000000
7.050000,838.000000,666.000000,102.000000,-2.000000,-103.000000,419.000000,-273.000000,391.000000,239.000000
7.100000,866.000000,641.000000,82.000000,53.000000,-117.000000,475.000000,-261.000000,395.000000,243.000000
7.150000,929.000000,658.000000,8.000000,70.000000,-134.000000,662.000000,-234.000000,385.000000,246.000000
7.200000,971.000000,632.000000,12.000000,154.000000,-189.000000,840.000000,-199.000000,377.000000,243.000000
7.250000,900.000000,531.000000,3.000000,143.000000,-240.000000,954.000000,-177.000000,364.000000,252.000000
7.300000,826.000000,451.000000,-55.000000,196.000000,-108.000000,970.000000,-135.000000,367.000000,254.000000
7.350000,948.000000,363.000000,81.000000,115.000000,-277.000000,942.000000,-106.000000,355.000000,248.000000
7.400000,798.000000,331.000000,-161.000000,207.000000,-52.000000,924.000000,-69.000000,343.000000,264.000000
7.450000,853.000000,204.000000,17.000000,58.000000,-163.000000,868.000000,-40.000000,353.000000,261.000000
7.500000,787.000000,83.000000,-12.000000,37.000000,-166.000000,643.000000,-15.000000,352.000000,260.000000
7.550000,776.000000,0.000000,-97.000000,-142.000000,-222.000000,497.000000,-3.000000,343.000000,267.000000
7.600000,796.000000,8.000000,-91.000000,-25.000000,-64.000000,217.000000,-1.000000,355.000000,272.000000
7.650000,785.000000,-6.000000,-73.000000,-63.000000,-70.000000,-24.000000,1.000000,358.000000,276.000000
7.700000,788.000000,12.000000,-57.000000,-42.000000,35.000000,-321.000000,-16.000000,359.000000,275.000000
7.750000,742.000000,40.000000,-93.000000,-53.000000,125.000000,-593.000000,-25.000000,361.000000,281.000000
7.800000,843.000000,136.000000,-79.000000,-48.000000,134.000000,-812.000000,-48.000000,352.000000,275.000000
7.850000,874.000000,285.000000,-78.000000,-56.000000,109.000000,-1026.000000,-82.000000,358.000000,270.000000
7.900000,858.000000,407.000000,-84.000000,-57.000000,264.000000,-1101.000000,-111.000000,344.000000,258.000000
7.950000,972.000000,516.000000,50.000000,0.000000,-23.000000,-1029.000000,-147.000000,368.000000,257.000000
8.000000,913.000000,657.000000,-130.000000,49.000000,83.000000,-973.000000,-166.000000,376.000000,254.000000
8.050000,909.000000,621.000000,-70.000000,35.000000,190.000000,-851.000000,-210.000000,380.000000,263.000000
8.100000,989.000000,677.000000,0.000000,66.000000,67.000000,-646.000000,-226.000000,389.000000,252.000000
8.150000,937.000000,668.000000,4.000000,56.000000,-24.000000,-423.000000,-250.000000,392.000000,248.000000
8.200000,893.000000,629.000000,-32.000000,49.000000,107.000000,-255.000000,-259.000000,400.000000,255.000000
8.250000,883.000000,659.000000,15.000000,-12.000000,-65.000000,-80.000000,-262.000000,395.000000,248.000000
8.300000,844.000000,700.000000,5.000000,-37.000000,-61.000000,33.000000,-255.000000,401.000000,255.000000
8.350000,852.000000,675.000000,0.000000,-37.000000,-63.000000,145.000000,-258.000000,409.000000,255.000000
8.400000,973.000000,671.000000,-10.000000,-39.000000,-107.000000,263.000000,-247.000000,398.000000,251.000000
8.450000,916.000000,694.000000,-57.000000,-9.000000,-38.000000,420.000000,-240.000000,397.000000,251.000000
8.500000,945.000000,642.000000,-59.000000,-7.000000,-48.000000,601.000000,-229.000000,389.000000,260.000000
8.550000,929.000000,592.000000,-1.000000,-79.000000,-118.000000,767.000000,-204.000000,383.000000,255.000000
8.600000,962.000000,590.000000,-32.000000,-49.000000,-145.000000,855.000000,-181.000000,373.000000,255.000000
8.650000,904.000000,528.000000,-75.000000,-91.000000,-105.000000,998.000000,-154.000000,371.000000,263.000000
8.700000,953.000000,489.000000,-87.000000,-46.000000,-98.000000,1032.000000,-129.000000,356.000000,255.000000
8.750000,859.000000,332.000000,0.000000,-11.000000,-137.000000,1010.000000,-103.000000,361.000000,257.000000
