Sample Time, Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
0.000000,126.000000,-1252.000000,-525.000000,2029.000000,598.000000,149.000000,111.000000,763.000000,-194.000000
0.050000,-273.000000,-1125.000000,-343.000000,1826.000000,714.000000,298.000000,101.000000,770.000000,-246.000000
0.100000,-159.000000,-1080.000000,-161.000000,1437.000000,452.000000,450.000000,83.000000,782.000000,-278.000000
0.150000,-196.000000,-931.000000,67.000000,1033.000000,263.000000,618.000000,59.000000,806.000000,-308.000000
0.200000,-122.000000,-704.000000,208.000000,714.000000,258.000000,462.000000,38.000000,817.000000,-330.000000
0.250000,-364.000000,-765.000000,362.000000,677.000000,-119.000000,444.000000,15.000000,820.000000,-338.000000
0.300000,-196.000000,-693.000000,375.000000,44.000000,-50.000000,191.000000,5.000000,823.000000,-356.000000
0.350000,-259.000000,-939.000000,207.000000,290.000000,-226.000000,-127.000000,17.000000,814.000000,-363.000000
0.400000,-127.000000,-732.000000,300.000000,-99.000000,-547.000000,-57.000000,18.000000,800.000000,-368.000000
0.450000,-712.000000,547.000000,1132.000000,2324.000000,-310.000000,607.000000,-6.000000,787.000000,-412.000000
0.500000,109.000000,-260.000000,132.000000,-2328.000000,-249.000000,0.000000,57.000000,760.000000,-366.000000
0.550000,-420.000000,-1207.000000,-120.000000,-1789.000000,-986.000000,-128.000000,102.000000,751.000000,-302.000000
0.600000,-461.000000,-1212.000000,-14.000000,-11.000000,-210.000000,-172.000000,125.000000,719.000000,-305.000000
0.650000,-212.000000,-682.000000,-131.000000,903.000000,513.000000,170.000000,113.000000,727.000000,-311.000000
0.700000,-144.000000,-857.000000,-67.000000,1730.000000,819.000000,-94.000000,84.000000,740.000000,-356.000000
0.750000,-293.000000,-974.000000,-13.000000,1509.000000,774.000000,-12.000000,35.000000,769.000000,-378.000000
0.800000,-175.000000,-735.000000,195.000000,361.000000,922.000000,706.000000,-1.000000,815.000000,-363.000000
0.850000,-87.000000,-566.000000,354.000000,-865.000000,77.000000,47.000000,-3.000000,826.000000,-344.000000
0.900000,-316.000000,-572.000000,117.000000,-1464.000000,-751.000000,-834.000000,26.000000,823.000000,-297.000000
0.950000,166.000000,-1404.000000,-67.000000,-968.000000,-1362.000000,-1196.000000,57.000000,790.000000,-282.000000
1.000000,64.000000,-1030.000000,-215.000000,-1365.000000,-293.000000,63.000000,68.000000,800.000000,-255.000000
1.050000,-178.000000,-996.000000,-469.000000,-1712.000000,-212.000000,-172.000000,72.000000,793.000000,-207.000000
1.100000,-95.000000,-1093.000000,-521.000000,-1544.000000,-1211.000000,-369.000000,75.000000,797.000000,-171.000000
1.150000,-327.000000,-1043.000000,-562.000000,-1548.000000,-1055.000000,-159.000000,74.000000,799.000000,-146.000000
