Sample Time, Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
0.000000,31.000000,-1017.000000,-79.000000,514.000000,207.000000,153.000000,126.000000,685.000000,-294.000000
0.050000,27.000000,-973.000000,-37.000000,528.000000,196.000000,191.000000,114.000000,698.000000,-323.000000
0.100000,61.000000,-1125.000000,24.000000,539.000000,101.000000,178.000000,108.000000,703.000000,-338.000000
0.150000,103.000000,-1011.000000,35.000000,327.000000,43.000000,153.000000,104.000000,703.000000,-351.000000
0.200000,-101.000000,-850.000000,-101.000000,46.000000,-443.000000,214.000000,92.000000,698.000000,-366.000000
0.250000,55.000000,-966.000000,-54.000000,-410.000000,102.000000,427.000000,93.000000,712.000000,-351.000000
0.300000,-141.000000,-1074.000000,-4.000000,-42.000000,-3.000000,236.000000,108.000000,713.000000,-342.000000
0.350000,-93.000000,-929.000000,-68.000000,-46.000000,-183.000000,194.000000,99.000000,710.000000,-351.000000
0.400000,-57.000000,-818.000000,8.000000,-611.000000,-2.000000,-23.000000,105.000000,707.000000,-333.000000
0.450000,-75.000000,-719.000000,-193.000000,-1344.000000,437.000000,-535.000000,128.000000,700.000000,-299.000000
0.500000,-97.000000,-945.000000,-339.000000,-978.000000,238.000000,-163.000000,129.000000,700.000000,-251.000000
0.550000,-64.000000,-1028.000000,-304.000000,2.000000,-253.000000,44.000000,135.000000,706.000000,-243.000000
0.600000,-96.000000,-1019.000000,-200.000000,31.000000,-67.000000,-114.000000,140.000000,703.000000,-246.000000
0.650000,-18.000000,-1098.000000,-232.000000,42.000000,-69.000000,-163.000000,138.000000,704.000000,-245.000000
0.700000,45.000000,-911.000000,85.000000,212.000000,181.000000,263.000000,77.000000,700.000000,-393.000000
0.750000,179.000000,-502.000000,-506.000000,305.000000,-1311.000000,84.000000,68.000000,689.000000,-417.000000
0.800000,-199.000000,-914.000000,170.000000,-467.000000,154.000000,543.000000,72.000000,692.000000,-412.000000
0.850000,-78.000000,-806.000000,29.000000,-541.000000,10.000000,225.000000,89.000000,701.000000,-391.000000
0.900000,46.000000,-829.000000,-7.000000,-880.000000,308.000000,-45.000000,104.000000,722.000000,-365.000000
0.950000,-178.000000,-902.000000,-127.000000,-1682.000000,584.000000,-513.000000,114.000000,700.000000,-305.000000
1.000000,-22.000000,-1015.000000,-286.000000,-800.000000,273.000000,-125.000000,126.000000,709.000000,-275.000000
1.050000,-63.000000,-985.000000,-145.000000,149.000000,58.000000,-70.000000,132.000000,713.000000,-270.000000
1.100000,-60.000000,-1046.000000,-124.000000,117.000000,40.000000,-13.000000,128.000000,701.000000,-278.000000
1.150000,-2.000000,-1062.000000,-125.000000,86.000000,-115.000000,-114.000000,131.000000,704.000000,-285.000000
1.200000,-10.000000,-1133.000000,-157.000000,376.000000,-235.000000,24.000000,132.000000,709.000000,-293.000000
1.250000,42.000000,-795.000000,246.000000,-319.000000,-315.000000,376.000000,56.000000,692.000000,-450.000000
1.300000,-195.000000,-873.000000,143.000000,-893.000000,254.000000,173.000000,78.000000,707.000000,-430.000000
1.350000,-157.000000,-963.000000,23.000000,-1335.000000,866.000000,-370.000000,92.000000,715.000000,-394.000000
1.400000,-229.000000,-1076.000000,-79.000000,-2027.000000,-184.000000,-452.000000,126.000000,709.000000,-315.000000
1.450000,-8.000000,-1031.000000,-276.000000,-683.000000,-141.000000,-281.000000,141.000000,691.000000,-282.000000
1.500000,-81.000000,-1094.000000,-158.000000,-58.000000,16.000000,-138.000000,143.000000,686.000000,-267.000000
1.550000,33.000000,-1060.000000,-119.000000,73.000000,-160.000000,-56.000000,150.000000,683.000000,-285.000000
1.600000,-42.000000,-1093.000000,-86.000000,270.000000,-170.000000,51.000000,140.000000,692.000000,-288.000000
1.650000,29.000000,-995.000000,-276.000000,659.000000,-262.000000,174.000000,140.000000,704.000000,-312.000000
1.700000,-141.000000,-890.000000,266.000000,-565.000000,-178.000000,210.000000,41.000000,713.000000,-466.000000
1.750000,-16.000000,-1067.000000,59.000000,-848.000000,464.000000,82.000000,57.000000,716.000000,-439.000000
1.800000,-208.000000,-818.000000,211.000000,-1132.000000,825.000000,-279.000000,89.000000,722.000000,-414.000000
1.850000,-12.000000,-1018.000000,-47.000000,-2012.000000,70.000000,-609.000000,123.000000,709.000000,-342.000000
1.900000,-256.000000,-1087.000000,-164.000000,-1036.000000,-88.000000,-400.000000,141.000000,700.000000,-287.000000
1.950000,-63.000000,-1214.000000,-69.000000,298.000000,-130.000000,-42.000000,150.000000,691.000000,-293.000000
2.000000,14.000000,-1081.000000,-75.000000,123.000000,-62.000000,-56.000000,140.000000,686.000000,-308.000000
2.050000,-103.000000,-1036.000000,-31.000000,189.000000,-123.000000,-40.000000,141.000000,692.000000,-311.000000
2.100000,-20.000000,-931.000000,-81.000000,393.000000,-242.000000,65.000000,128.000000,707.000000,-332.000000
2.150000,169.000000,-932.000000,281.000000,490.000000,15.000000,90.000000,41.000000,724.000000,-435.000000
2.200000,-251.000000,-1037.000000,199.000000,330.000000,170.000000,110.000000,30.000000,727.000000,-447.000000
2.250000,-204.000000,-930.000000,353.000000,183.000000,-95.000000,228.000000,17.000000,730.000000,-460.000000
2.300000,-149.000000,-884.000000,321.000000,-196.000000,-422.000000,552.000000,15.000000,718.000000,-472.000000
2.350000,-210.000000,-931.000000,291.000000,-354.000000,-360.000000,283.000000,30.000000,710.000000,-466.000000
2.400000,-104.000000,-834.000000,179.000000,-446.000000,674.000000,-31.000000,47.000000,725.000000,-448.000000
